class,a,all,also,an,and,any,are,as,at,be,been,but,by,can,do,down,even,every,for,from,had,has,have,her,his,if,in,into,is,it,its,may,more,must,my,no,not,now,of,on,one,only,or,our,shall,should,so,some,such,than,that,the,their,then,there,things,this,to,up,upon,was,were,what,when,which,who,will,with,would,your
1,24.726,4.2388,1.0597,8.4776,30.025,2.1194,6.7114,8.4776,2.4726,8.8308,4.2388,3.8856,10.95,0,0.70646,0.35323,0.35323,2.8259,5.6517,3.1791,2.1194,2.8259,5.2985,2.4726,0.70646,2.4726,21.547,2.4726,22.607,18.368,1.4129,4.592,0.35323,0.70646,0,0.35323,9.8905,0.35323,58.99,7.0646,3.1791,1.0597,8.4776,2.8259,0.35323,0.70646,1.0597,2.8259,1.7662,0.70646,19.781,85.129,3.8856,0.70646,2.4726,0.35323,6.7114,39.209,1.0597,3.5323,3.5323,1.0597,1.0597,5.6517,12.363,5.6517,4.9452,5.2985,1.7662,0.35323
1,20.833,4.8759,5.3191,0,6.6489,21.72,3.1028,3.1028,7.5355,20.39,3.5461,1.3298,12.411,1.3298,0,0,1.7731,0.44326,6.2057,4.8759,3.1028,1.7731,10.195,1.7731,0,7.0922,0.88653,5.3191,17.73,0.88653,5.7624,0.88653,2.6596,1.3298,0,1.3298,6.2057,0,68.706,5.3191,1.7731,0.44326,4.4326,2.2163,0.44326,3.1028,1.7731,3.1028,1.3298,2.2163,11.525,89.539,7.9787,0,3.9894,0.44326,9.7518,35.461,0.44326,4.8759,3.1028,3.9894,1.3298,0.44326,10.638,0.88653,0.44326,5.3191,22.606,0
2,20.727,1.5643,0.39108,4.693,21.51,3.9108,6.2573,11.732,3.9108,14.861,0.78217,1.9554,9.7771,1.5643,0.78217,0.39108,0.39108,1.5643,2.3465,6.6484,1.9554,1.9554,3.9108,0.78217,9.386,2.7376,21.901,0.78217,16.034,15.643,1.9554,5.0841,1.9554,1.1732,0,3.5198,9.386,0.39108,52.014,7.4306,2.3465,1.5643,5.0841,0,0,2.7376,1.5643,1.1732,5.0841,2.3465,14.47,70.786,3.9108,0.39108,1.9554,0,5.0841,42.237,0,0.39108,1.9554,1.5643,0.78217,0.78217,13.297,2.3465,2.7376,10.95,0.39108,0
2,16.061,2.2945,1.912,0.38241,3.4417,27.916,2.2945,4.9713,8.0306,27.533,1.912,4.9713,8.0306,2.6769,0.38241,0,0.76482,2.2945,4.2065,3.8241,1.1472,1.5296,5.7361,0,0,12.237,2.2945,1.912,17.591,1.5296,2.6769,4.9713,4.2065,3.4417,0,1.5296,7.6482,0.38241,61.185,12.237,3.4417,2.2945,5.3537,0,0,3.4417,0.76482,0.38241,2.2945,4.2065,14.914,115.11,11.09,0.38241,0,0,3.4417,32.505,0.38241,0,4.5889,1.1472,1.912,0,8.7954,2.2945,15.296,6.8834,11.09,0
1,22.177,5.5444,3.5282,0.50403,3.5282,23.185,2.0161,7.0565,12.097,26.21,3.0242,2.0161,11.089,1.5121,0.50403,0,1.5121,0.50403,5.5444,6.0484,2.0161,2.5202,5.5444,1.5121,0,13.105,4.5363,2.5202,20.161,0.50403,8.5685,2.0161,1.0081,2.5202,0,1.0081,4.0323,0,62.5,5.5444,1.0081,1.0081,7.5605,5.0403,3.0242,3.0242,0.50403,2.5202,2.0161,2.0161,15.625,87.198,5.5444,1.0081,1.0081,1.0081,10.081,44.859,2.5202,1.0081,2.0161,0.50403,1.0081,1.5121,7.5605,1.0081,5.0403,4.0323,10.585,0
2,12.778,2.5557,4.3812,3.2859,3.651,31.398,1.8255,9.4925,7.3019,12.778,5.1114,1.8255,15.334,3.2859,0.3651,0.73019,1.8255,1.4604,2.5557,4.3812,1.0953,6.2066,5.1114,1.0953,4.0161,8.0321,3.651,1.8255,22.636,0.3651,15.699,2.9208,3.2859,0.3651,0,5.4765,4.3812,0,67.543,7.3019,6.2066,0.73019,6.5717,0,2.5557,0.73019,1.4604,1.4604,0.73019,1.8255,13.143,118.66,0.3651,0.73019,1.0953,0,8.7623,23.366,0,0,1.4604,2.5557,1.0953,1.0953,8.0321,2.1906,1.4604,7.3019,1.4604,0
3,16.765,2.7186,3.1717,0.4531,2.7186,24.468,2.2655,11.781,10.874,19.483,1.8124,3.6248,11.328,3.1717,0,0,0,5.8903,8.609,4.9841,0.4531,1.8124,4.9841,2.2655,1.8124,11.781,1.3593,2.7186,18.124,0.90621,15.406,1.8124,4.0779,1.8124,0,1.8124,6.7966,0.4531,67.512,8.609,4.531,1.3593,9.9683,0.90621,1.3593,0,3.1717,2.2655,1.3593,4.531,14.046,96.964,10.421,0.4531,1.8124,0,5.8903,33.077,0,0,1.8124,0.90621,2.2655,1.3593,13.593,3.6248,10.874,1.3593,2.7186,0
1,19.169,4.4728,7.6677,0,5.7508,33.227,1.278,3.1949,1.9169,15.335,1.9169,1.9169,5.7508,1.278,0,0,0,0.63898,7.0288,3.1949,1.9169,2.5559,2.5559,0,4.4728,10.224,3.8339,1.278,18.53,1.9169,7.0288,2.5559,5.7508,0.63898,0.63898,0,2.5559,0,69.01,1.278,1.278,0,8.3067,1.278,0.63898,1.278,2.5559,0.63898,0,3.1949,13.419,102.24,6.3898,0,2.5559,0.63898,7.0288,36.422,0,3.8339,3.8339,2.5559,0.63898,0.63898,15.335,1.278,8.3067,6.3898,7.6677,0
2,18.531,2.6473,0.66181,3.3091,21.84,0.66181,5.9563,9.9272,5.2945,19.854,1.3236,2.6473,15.884,1.3236,0,0,1.3236,2.6473,5.2945,4.6327,1.3236,4.6327,6.6181,0,5.2945,3.9709,15.884,3.9709,11.251,8.6036,13.898,4.6327,2.6473,2.6473,0,1.3236,5.2945,0,64.196,5.2945,3.3091,4.6327,4.6327,0.66181,0,3.3091,1.9854,0.66181,3.3091,2.6473,9.2654,101.92,7.9418,0,0.66181,0,1.3236,37.723,0.66181,0,3.3091,4.6327,1.3236,0,11.913,3.3091,11.251,6.6181,5.9563,0
1,18.193,1.9151,0,5.7453,24.896,1.5959,5.7453,7.022,2.8726,12.448,3.8302,2.5535,5.4261,2.8726,0.95755,0,0.31918,0,3.8302,2.5535,0.95755,2.5535,3.1918,0,2.2343,2.5535,28.088,0.31918,22.343,20.747,6.7028,3.1918,1.5959,1.9151,0,3.511,7.3412,72.135,2.2343,0,0.63837,1.2767,4.7877,4.7877,2.2343,0.31918,1.5959,0.63837,1.2767,1.2767,19.789,107.56,2.2343,1.2767,1.9151,0.63837,9.2563,45.005,0,1.9151,3.8302,0,2.5535,2.5535,10.533,1.5959,4.1494,13.086,3.1918,0
2,22.957,2.0257,0.67522,3.3761,31.735,0,6.077,6.7522,1.3504,20.257,0.67522,2.0257,16.205,2.0257,0.67522,0,0,4.0513,5.4018,6.077,0,1.3504,0,0,0.67522,3.3761,16.205,8.7779,14.18,13.504,6.077,4.0513,9.4531,6.077,0,1.3504,4.7265,0.67522,54.693,4.7265,7.4274,0,7.4274,2.0257,0,1.3504,4.7265,0.67522,2.7009,2.0257,4.7265,91.83,11.479,1.3504,2.7009,0.67522,6.077,35.111,0,0,0,0.67522,1.3504,0.67522,8.7779,3.3761,3.3761,2.0257,4.7265,0
1,23.072,7.9103,1.3184,0.6592,3.296,16.48,3.296,5.9328,11.866,24.39,5.9328,1.9776,3.296,3.9552,0.6592,0,0,0.6592,11.206,5.2736,1.9776,7.9103,0,0,0.6592,16.48,1.9776,4.6144,30.982,1.9776,6.592,7.2512,2.6368,1.3184,0.6592,3.296,5.2736,0.6592,64.601,3.9552,1.9776,2.6368,5.2736,0,1.3184,4.6144,1.3184,1.3184,0,7.9103,21.094,98.22,3.296,0.6592,3.296,0,9.2287,39.552,0,1.9776,2.6368,0,1.3184,1.3184,7.9103,2.6368,4.6144,4.6144,11.206,0
1,22.505,4.8924,1.9569,0,1.9569,23.483,7.8278,5.8708,4.8924,29.354,4.8924,2.9354,3.9139,6.8493,0.97847,0,0,1.9569,14.677,6.8493,0,7.8278,5.8708,0,1.9569,12.72,1.9569,1.9569,34.247,0.97847,10.763,5.8708,4.8924,1.9569,0,3.9139,7.8278,0,50.881,4.8924,0.97847,2.9354,3.9139,1.9569,3.9139,1.9569,0.97847,2.9354,4.8924,6.8493,18.591,85.127,11.742,0.97847,2.9354,0,7.8278,41.096,0,1.9569,0.97847,0.97847,0.97847,0,11.742,3.9139,6.8493,3.9139,4.8924,0
2,25.313,1.8298,0.30497,4.5746,26.532,3.6597,2.4398,16.468,2.4398,17.078,5.7945,2.1348,9.1491,1.5249,2.4398,0,0.91491,1.2199,3.3547,4.5746,2.7447,4.8795,11.589,4.2696,5.4895,5.1845,25.618,0.60994,11.894,18.603,4.8795,2.7447,2.7447,1.2199,1.5249,3.0497,13.114,0,45.441,9.1491,1.5249,1.8298,11.284,3.0497,0.30497,0.60994,2.7447,0.91491,2.7447,2.4398,19.518,91.491,1.5249,0.60994,3.3547,0,3.3547,40.561,0,0,5.1845,2.1348,1.2199,1.2199,10.369,0.60994,3.9646,5.4895,8.2342,0
2,27.719,1.8078,2.4104,0.90389,5.4233,28.322,2.7117,5.7246,8.7376,15.366,4.5194,6.0259,11.148,2.7117,0.90389,0,0.60259,0.90389,6.3272,6.3272,1.8078,3.6155,6.3272,2.1091,5.4233,14.763,1.8078,1.8078,18.68,2.1091,17.174,2.7117,3.013,1.2052,0,5.122,9.6415,0.60259,56.644,4.5194,3.9168,0.60259,5.122,0.90389,0.90389,3.013,2.1091,3.013,3.6155,3.3143,16.873,81.049,7.5324,0.60259,0.90389,0,7.2311,34.95,0,1.2052,3.6155,3.013,0.3013,0.60259,7.8337,4.2181,3.6155,6.6285,4.5194,0
3,23.506,8.3252,1.9589,0.48972,1.9589,23.506,3.9177,6.3663,5.8766,24.976,2.9383,2.4486,6.856,3.9177,0.97943,0,0.48972,5.8766,8.3252,5.8766,1.4691,2.4486,2.9383,0.48972,0,8.3252,2.4486,0,14.691,0,12.243,5.3869,5.3869,2.9383,0.48972,1.9589,6.856,0.97943,58.766,4.4074,4.8972,0.48972,9.7943,3.428,0.48972,0.48972,3.428,0.48972,0.97943,7.3457,15.671,88.149,7.8355,0.97943,2.4486,0,5.8766,37.708,0.48972,0.97943,0,2.9383,1.4691,0.48972,14.202,1.4691,9.7943,5.3869,4.8972,0
2,17.879,2.7744,0.92478,3.6991,22.503,2.1578,5.2404,11.714,3.3909,22.195,2.4661,2.7744,10.481,4.3157,0.61652,0.30826,0,0.92478,4.9322,4.3157,0.61652,4.6239,4.0074,0,4.0074,5.857,31.751,0.92478,23.736,23.736,7.7065,8.0148,1.5413,4.6239,0,2.4661,9.8644,0.30826,40.691,6.4735,3.0826,1.8496,8.3231,0,1.8496,1.5413,3.6991,0.61652,1.8496,1.8496,18.496,96.794,0.92478,0.92478,2.1578,0.30826,6.7818,47.781,0.30826,0.30826,0.61652,0.30826,4.3157,2.1578,6.1652,0.61652,3.0826,7.09,2.1578,0
2,28.475,3.947,1.1277,4.7928,16.916,3.3831,4.5109,7.6121,4.2289,27.911,0.84579,2.8193,13.814,1.4096,0.56386,0,0.84579,1.9735,7.0482,3.6651,0,0.56386,2.8193,0,0.84579,5.6386,24.81,0.28193,14.66,15.788,1.6916,5.0747,5.0747,0.84579,0,1.9735,10.149,0.28193,62.87,3.947,2.8193,1.6916,10.149,0.28193,0.28193,1.9735,1.6916,1.6916,1.9735,4.2289,12.687,91.909,3.6651,0,1.4096,0.28193,5.3566,40.316,0,0,1.6916,2.5374,0.84579,1.6916,7.3301,0.28193,4.2289,2.2554,6.2024,0
2,13.944,4.2903,0.35753,3.2177,40.4,0.71505,5.7204,5.0054,2.8602,12.871,2.1452,7.508,7.1505,2.5027,0,0.35753,0.71505,1.7876,5.7204,5.3629,0.35753,5.3629,5.3629,5.0054,6.793,3.9328,9.6532,1.7876,7.508,8.5806,1.0726,2.1452,1.0726,2.5027,0.71505,5.3629,5.7204,3.2177,58.992,11.441,3.9328,2.8602,6.0779,7.1505,0.35753,3.2177,1.0726,0.35753,1.4301,0.71505,12.156,72.22,13.586,1.0726,1.4301,0,3.5753,33.607,0.35753,0,2.8602,0,0.35753,1.0726,6.4355,2.8602,9.2957,7.508,5.0054,3.2177
2,17.579,2.3217,3.6484,0.99503,3.9801,32.836,0.66335,4.3118,10.945,17.91,6.6335,2.3217,18.242,0.99503,1.6584,0,1.6584,2.6534,7.6285,4.9751,5.6385,3.3167,8.6235,0,0.99503,11.609,1.3267,2.6534,22.554,2.3217,9.6186,2.3217,1.3267,1.3267,0,2.9851,6.3018,0.66335,56.716,4.3118,2.9851,1.6584,3.3167,0.33167,1.9901,3.9801,4.3118,2.3217,4.3118,1.6584,20.896,96.517,11.609,1.3267,1.3267,0,5.9701,39.469,3.9801,0,0,6.3018,1.6584,0.99503,10.282,2.9851,2.3217,4.9751,1.9901,0
2,18.807,2.1494,6.9855,0.53735,6.4481,27.405,0.53735,3.2241,9.6722,16.658,6.4481,3.7614,15.046,2.1494,0,0,0,1.612,8.5975,6.4481,5.3735,3.2241,5.3735,0,1.612,12.896,4.8361,1.0747,24.718,1.612,15.583,3.2241,4.2988,0.53735,0,3.2241,6.9855,0,52.66,8.5975,4.2988,0.53735,5.9108,1.612,1.612,3.2241,2.6867,3.7614,0,2.1494,14.508,89.199,7.5228,0,1.0747,0,7.5228,28.479,0.53735,0,2.6867,2.1494,1.0747,0,15.046,2.6867,5.9108,4.2988,1.612,0
3,20.036,1.2143,3.643,0.60716,6.6788,25.501,1.8215,9.1075,8.5003,28.537,1.8215,4.8573,9.1075,2.4287,1.8215,0,0.60716,3.0358,6.6788,3.0358,2.4287,1.2143,3.0358,0,1.8215,15.786,4.8573,1.8215,20.644,0.60716,10.929,2.4287,1.8215,1.8215,0,2.4287,7.8931,0,60.109,9.7146,2.4287,2.4287,6.0716,1.2143,1.2143,1.2143,2.4287,1.2143,1.8215,0.60716,12.75,106.86,8.5003,0,1.2143,0.60716,3.0358,34.608,0,0,0.60716,1.2143,0,1.2143,12.143,3.0358,0.60716,6.6788,13.358,0
1,25.487,2.2489,4.8726,0.74962,7.1214,26.987,4.4978,4.8726,7.4963,12.369,6.3718,2.6237,4.1229,3.7481,0.37481,0,0,3.3733,4.1229,3.3733,0.74962,5.6222,8.6207,0,2.6237,14.993,2.2489,1.4992,27.361,0.74962,14.243,5.2474,1.8741,5.6222,2.6237,5.2474,7.4963,1.1244,62.594,6.3718,2.9985,0.37481,4.4978,1.8741,1.1244,1.4992,1.8741,0.74962,1.8741,1.8741,12.744,89.955,2.6237,0.74962,3.7481,0,4.8726,42.354,0.37481,4.4978,0,0.74962,1.1244,0.37481,15.367,3.7481,5.997,2.9985,2.2489,1.4992
1,14.607,3.0432,2.4346,0,4.8691,27.998,1.8259,4.2605,9.1296,10.956,10.347,3.0432,8.521,1.8259,0,0,2.4346,6.6951,0,3.0432,1.8259,7.3037,12.781,0,3.0432,12.173,1.8259,2.4346,21.911,0.60864,10.956,1.8259,1.8259,1.8259,0,1.8259,7.9124,0.60864,65.733,1.8259,1.8259,3.0432,3.0432,0.60864,4.2605,0.60864,4.2605,0.60864,1.2173,3.0432,9.7383,110.16,3.0432,0.60864,1.8259,0,7.3037,50.517,0.60864,3.6519,0.60864,0,0,0,15.825,3.6519,1.8259,7.3037,3.0432,0
1,21.871,6.0493,3.2573,0.46533,5.1187,28.851,3.2573,6.98,8.8413,18.148,3.7227,3.7227,6.98,0.93066,0,0,0.93066,1.8613,3.7227,8.8413,1.396,6.0493,6.0493,0.46533,0.93066,12.099,3.7227,2.792,25.128,3.2573,10.237,1.396,2.3267,7.4453,0,0.93066,2.792,0.46533,64.681,5.584,2.3267,0,3.2573,2.3267,0.46533,1.8613,2.792,0.93066,1.396,1.8613,12.564,81.433,6.5147,0,4.188,0.93066,7.9107,37.227,0,3.2573,0,0,0.93066,0,10.703,0.46533,5.1187,8.376,10.237,0
2,13.571,3.8775,1.1632,2.7142,27.142,3.4897,3.102,9.6937,5.8162,9.6937,3.4897,3.8775,12.796,0.38775,0.77549,0.77549,1.1632,0,3.8775,4.653,3.102,0.77549,3.102,11.245,0.38775,2.7142,34.509,2.7142,7.3672,10.469,1.9387,2.3265,1.551,0,0,3.102,8.5304,1.9387,64.754,12.796,1.551,2.3265,6.5917,1.1632,0.77549,1.9387,1.551,0.77549,1.1632,2.3265,15.122,88.019,3.8775,1.9387,0.38775,0,6.9794,31.02,0.38775,0,8.5304,3.4897,1.551,0,8.5304,0.77549,0,8.9182,4.2652,0
2,14.745,7.3727,0,8.0429,31.501,0,8.0429,7.3727,4.0214,18.767,1.3405,2.681,12.735,2.0107,0,0,0,10.054,3.3512,7.3727,1.3405,2.681,1.3405,0,0,1.3405,24.799,1.3405,12.064,11.394,4.6917,6.7024,3.3512,2.0107,0,3.3512,4.6917,1.3405,61.662,5.3619,3.3512,1.3405,5.3619,0.67024,2.0107,2.681,2.681,2.0107,0.67024,4.0214,11.394,89.812,7.3727,0.67024,3.3512,0.67024,5.3619,38.204,0.67024,0,2.0107,4.0214,0.67024,0,7.3727,6.0322,6.0322,7.3727,0,0
1,26.948,5.8795,1.9598,5.8795,0,25.478,0.97991,3.4297,7.8393,20.088,1.9598,2.4498,8.3293,0.97991,0,0,2.9397,1.4699,6.8594,6.8594,3.9196,2.4498,3.4297,0,17.148,10.779,3.4297,2.4498,17.148,0,11.759,4.4096,4.8996,3.4297,0,2.9397,6.3694,0,57.815,2.9397,1.9598,0.48996,7.8393,0,0.48996,0,0.48996,1.4699,3.4297,3.4297,9.3092,86.232,5.8795,0.48996,4.4096,0.48996,4.8996,48.016,0.48996,2.4498,1.9598,1.9598,2.4498,4.4096,9.7991,1.9598,3.9196,4.8996,12.249,0
2,17.924,2.0291,0,4.3963,18.262,2.3673,1.0145,12.175,6.4254,18.6,7.1018,5.4109,5.7491,0,1.6909,0,0.33818,2.7054,8.7927,3.3818,3.72,8.1163,4.7345,0,2.3673,5.4109,23.334,1.3527,7.44,14.204,10.822,2.0291,2.7054,2.7054,0,4.0582,7.44,1.0145,59.858,11.16,5.4109,0.67636,7.7782,4.3963,1.0145,0.67636,3.0436,0.67636,2.3673,4.0582,18.6,80.487,7.44,0.67636,0.67636,0.67636,5.0727,39.905,0,0,2.0291,4.3963,1.3527,2.0291,6.0873,1.3527,5.0727,6.7636,10.484,0
2,17.209,3.2558,2.7907,0.46512,4.186,27.907,1.3953,3.2558,11.163,20.93,4.186,1.8605,8.3721,4.186,0,0,0.93023,0.46512,9.3023,5.1163,1.3953,3.7209,7.907,1.3953,0,14.419,3.7209,2.7907,18.605,0.93023,11.628,7.4419,3.7209,0.93023,0.93023,4.6512,6.0465,0.93023,56.744,7.907,1.8605,1.8605,5.1163,5.5814,0,0.93023,2.7907,3.2558,0.93023,2.3256,15.349,93.023,8.8372,0,0,0,6.0465,33.023,0,0,1.3953,1.3953,0.93023,0,18.605,0.46512,12.093,3.2558,2.3256,2.3256
2,22.706,3.7843,1.4191,8.9877,25.544,2.8382,7.5686,13.245,2.8382,26.017,1.4191,2.3652,6.1495,2.3652,0,0.47304,0.94607,3.3113,4.7304,4.7304,0.94607,5.2034,1.4191,0,2.8382,4.2573,23.179,2.8382,19.868,17.502,4.7304,5.2034,1.4191,1.8921,0,0.94607,7.5686,0,61.022,3.7843,2.3652,0.47304,7.5686,0,0.94607,2.3652,4.7304,0.94607,3.3113,2.3652,22.706,97.919,1.4191,0.47304,3.3113,0.47304,7.0956,44.939,0.47304,0.94607,0.94607,0.47304,0,0.94607,13.718,1.4191,2.3652,5.6764,6.1495,0
2,16.984,3.2211,0.87848,4.6852,18.448,3.8067,4.3924,13.47,7.3206,10.542,3.2211,3.2211,7.3206,0,1.757,1.1713,0.87848,1.757,6.735,4.3924,1.4641,2.6354,5.5637,1.1713,6.1493,2.6354,22.548,1.1713,10.835,16.105,4.6852,4.3924,2.9283,0.29283,3.8067,3.2211,11.127,0.58565,56.515,7.9063,3.5139,2.0498,4.0996,0.29283,0.29283,1.1713,2.3426,0.58565,4.0996,2.0498,16.984,71.449,4.6852,1.4641,1.4641,2.0498,6.1493,48.609,0.29283,0.29283,3.8067,0.58565,1.4641,1.4641,12.592,2.3426,1.1713,12.299,3.2211,0
2,17.937,3.3632,1.1211,2.6158,24.29,4.4843,1.8685,15.321,3.7369,5.9791,3.7369,3.3632,10.837,1.1211,0.37369,0,0,0,7.4738,10.09,5.2317,0,5.2317,4.858,5.6054,1.8685,18.685,2.2422,11.584,10.463,1.4948,1.1211,1.4948,0.74738,1.8685,2.6158,7.1001,1.1211,68.386,8.2212,2.6158,0.74738,4.4843,0.74738,0.74738,0.37369,2.6158,0.74738,4.4843,0.74738,11.211,99.776,4.1106,1.4948,0,0,7.4738,42.227,0,1.1211,8.2212,3.3632,0,0.74738,9.716,1.8685,0.37369,11.584,0.37369,0
1,22.116,2.1683,2.1683,0.43365,6.9384,23.851,2.6019,2.1683,7.8057,31.657,4.3365,3.0356,10.841,0.8673,0.43365,0.43365,0.8673,2.6019,5.2038,5.2038,0.8673,2.1683,8.673,0,8.2394,12.576,2.6019,1.301,25.585,0,9.5403,3.4692,2.6019,2.6019,0,2.6019,6.0711,0,58.977,1.7346,4.3365,1.301,11.275,0.8673,3.4692,0.8673,0.8673,2.1683,3.0356,3.4692,16.912,90.199,3.0356,0.43365,3.0356,0,7.8057,41.197,0.43365,4.3365,0.8673,1.301,0.8673,1.301,9.1067,6.9384,11.709,3.9029,12.142,0
